"","企業名","株価の変化率","負債","来期決算短信期日の株価","企業価値","決算短信期日の株価","EV/EBITDA（会社予想）","有利子負債/総資産比率","有形固定資産","キャッシュ時価総額比率","売上債権の増減額","純資産","総資産回転率","ネットD純利益比率","自己株式","PER×PBR","流動比率","純利益進捗率","従業員数","売上進捗率","PBR","自己資本","現金売上倍率","株主資本","減価償却費","棚卸資産","仕入債務","有利子負債/月商比率","流動負債","end_date+60日+３ヶ月の株価","PER（会社予想）","売上（会社予想）","DE比率","財務キャッシュフロー","ティッカー","純利益成長率（直近年度実績→会社予想）","投資キャッシュフロー","営業利益進捗率","営業キャッシュフロー","有利子負債/営業キャッシュフロー倍率","投資その他の資産","時価総額","有利子負債","自己株数","売上高成長率（直近年度実績→会社予想）","営業外費用","営業利益成長率（直近年度実績→会社予想）","有利子負債/時価総額比率","アクルーアル ","貸倒引当金","現金総資産比率","仕入債務回転期間","配当利回り（実績）","PCFR","売上高総利益率","ROA","税引前当期純利益","ROIC","当期純利益率","受取利息","EBITDA（実績）","売上債権回転期間","株式総数","親会社株主に帰属する当期純利益","BPS","棚卸資産回転期間","固定資産","インタレストカバレッジレシオ ","流動資産","売掛金","PSR（会社予想）","固定負債","経常利益","運転資本","税金等調整前当期純利益","ROE","EPS（実績）","資本金","営業外収益","総資産","売上債権","配当利回り（会社予想）","有形固定資産回転率","フリーキャッシュフロー","純有利子負債","営業利益率","販売費および一般管理費","自己資本比率","非支配持分控除前四半期純利益","営業利益","有形固定資産の取得による支出","実質法人税率","買掛金","発行済株式総数","減価償却費/粗利比率","法人税等","資本剰余金","財務レバレッジ","未払法人税等","支払利息/営業利益比率","EBITDA（会社予想）","販管費/売上率","CCC","営業利益（会社予想）","現預金","長期借入金","売上原価","研究開発費/売上比率","無形固定資産","1年以内返済の長期借入金","設備投資額","自己株式調整済負債比率","経常利益（会社予想）","当期純利益（会社予想）","営業キャッシュフロー/売上比率","利益剰余金","売上","支払利息","売上高総利益"
0,"ウェルスナビ株式会社",36.086,7437014000.0,2785.0,117621088465.0,1937.0,"null",7.876,12940000.0,6.878,"null",5260455000.0,0.122300190510393,1.899,"null","null",193.25079920596724,"null",85.0,"null",18.1063731222765,5260455000.0,37.964908303995806,5260455000.0,54780000.0,0.0,0.0,7.727462694063957,6437014000.0,3790.0,"null","null",0.19,4103674000.0,7342.0,-100.0,-113189000.0,"null",992561000.0,100.749,160531000.0,125234902465.0,1000000000.0,"null",-100.0,1228000.0,-100.0,0.798,-3053366000.0,"null",38.693,"null",0.0,1663.03568773654,98.73797655101446,"null",-2057005000.0,"null","null","null","null",0.0,42467649.0,-2060805000.0,123.87,"null",257888000.0,"null",12439581000.0,"null","null",1000000000.0,-2057005000.0,0.0,-2057005000.0,"null",-48.526,100000000.0,5944000.0,12697470000.0,0.0,"null",120.0079598145286,"null",-3912985000.0,"null",3595027000.0,41.429,-2060805000.0,-2061722000.0,-7891000.0,-0.185,"null",14155883.0,3.5726747124675127,3800000.0,7221261000.0,2.414,3800000.0,0.0,"null",231.5036418887722,0.0,"null",4912985000.0,"null","null",1.9318656735159887,84415000.0,"null",13913000.0,141.376,"null","null",63.916484159023454,-2060805000.0,1552903000.0,"null",1533305000.0
1,"ウェルスナビ株式会社",25.944,8461619000.0,3045.0,129312677205.0,3030.0,"null",6.503,68174000.0,6.291,"null",6916620000.0,0.1636539138193911,7.589,"null","null",178.6548177127805,"null",91.0,"null",19.7967347064028,6916620000.0,41.07179971939545,6916620000.0,75305000.0,0.0,0.0,4.768131714870491,8461619000.0,3835.0,"null","null",0.145,2642321000.0,7342.0,-100.0,-76387000.0,"null",-939964000.0,-106.387,103099000.0,136926491205.0,1000000000.0,"null",-100.0,24649000.0,-100.0,0.73,-63246000.0,"null",56.013,"null",0.0,1818.29216127747,99.13617347098928,"null",-999410000.0,"null","null","null","null",0.0,44967649.0,-1003210000.0,153.813,"null",261149000.0,"null",15117090000.0,"null","null","null",-999410000.0,0.0,-999410000.0,"null",-22.31,1429687000.0,4033000.0,15378239000.0,0.0,0.0,36.91596503065685,"null",-7613814000.0,"null",3473763000.0,44.977,-1003210000.0,-978794000.0,-86092000.0,-0.38,"null",44967649.0,3.018273974546377,3800000.0,6490142000.0,2.223,48762000.0,0.0,"null",138.02799608536387,0.0,"null",8613814000.0,"null","null",0.0,89874000.0,"null",136113000.0,122.337,"null","null",-37.34893466030439,-1003210000.0,2516709000.0,"null",2494969000.0
2,"株式会社ＡＳＪ",23.367,1106000000.0,1301.0,9329712200.0,1297.0,37.1947670570975,0.0,1374360000.0,8.673,-31126000.0,3221000000.0,0.5352285648255142,2.017,-42000000.0,1080.00388857734,183.76168224299064,-130.44333333333333,"null",40.90404,3.17159646072648,3221000000.0,4.590804401161691,3221000000.0,115720000.0,141000000.0,408000000.0,0.0,856000000.0,1605.0,340.52374,2500000000.0,0.0,-15658000.0,2351.0,-176.6616410701965,-176941000.0,-74.35,33290000.0,0.0,"null",10215712200.0,0.0,94900.0,144.47462891196076,"null",-234.4989912575656,0.0,-72423000.0,"null",20.476,97.12302706622847,0.154,44.2556651099925,38.04484838172464,"null",-36728000.0,"null","null","null","null",70.60650260326935,7852200.0,-39133000.0,410.204,33.564575530240724,2754000000.0,"null",1573000000.0,"null",4.08628488,250000000.0,-36728000.0,181000000.0,-36728000.0,"null",-55.938,1374000000.0,446000.0,4327000000.0,448000000.0,0.153727901614143,1.6850999738059895,"null",-886000000.0,"null",425923000.0,74.44,-39133000.0,-37175000.0,-8280000.0,-6.545,"null",7947100.0,29.74447817358828,2404000.0,"null",1.343,"null",0.0,165720000.0,41.65094694802763,7.048,50000000.0,886000000.0,"null",633553000.0,1.8580071797309017,1209140000.0,"null",176941000.0,33.895,"null",30000000.0,3.2554241585916697,587000000.0,1022601000.0,"null",389047000.0
3,"株式会社ＡＳＪ",0.128,1059000000.0,1558.0,11489727600.0,1174.0,45.8061012462425,0.0,1375915000.0,6.082,-44777000.0,3191000000.0,0.5447974594213126,1.694,-42000000.0,1563.39800471119,183.6431226765799,-227.99,"null",62.61228,3.83382250078345,3191000000.0,3.855032138221556,3191000000.0,193941000.0,178000000.0,391000000.0,0.0,807000000.0,1560.0,407.79092,2500000000.0,0.0,-15677000.0,2351.0,-143.86157287600335,-272800000.0,-128.13,-12035000.0,0.0,"null",12233727600.0,0.0,94900.0,59.7130786484696,254000.0,-178.04573480059312,0.0,-56362000.0,"null",17.502,93.0762342718023,0.128,52.9979448434806,35.37785239572812,"null",-64272000.0,"null","null","null","null",69.97608740145445,7852200.0,-68397000.0,406.383,42.37230102399184,2769000000.0,"null",1482000000.0,"null",4.89349104,252000000.0,-64272000.0,231000000.0,-64272000.0,"null",-55.938,1374000000.0,398000.0,4251000000.0,444000000.0,0.128369704749679,1.6831955462365045,"null",-744000000.0,"null",617765000.0,75.065,-68397000.0,-64065000.0,-18244000.0,-6.418,"null",7947100.0,35.02181403176758,4125000.0,"null",1.332,"null",0.0,243941000.0,39.46606001250873,19.272,50000000.0,744000000.0,"null",1011534000.0,1.8025856908580875,1224599000.0,"null",272796000.0,32.756,"null",30000000.0,-0.7688587606137326,558000000.0,1565307000.0,"null",553772000.0
4,"株式会社ＡＳＪ",9.853,1192668000.0,1634.0,12214341388.0,3010.0,41.6293455439032,3.21,1421673000.0,5.807,-120806000.0,2823777000.0,0.5766129002139952,1.403,-42491000.0,4858.17524048659,184.37669641765493,-3660.3333333333335,155.0,92.63736,4.5437247303877,2823777000.0,3.8604208928233694,2823777000.0,273407000.0,123279000.0,401982000.0,0.6679775848534544,817900000.0,1795.0,1069.205449,2500000000.0,0.046,113201000.0,2351.0,-102.73199162189236,-474735000.0,-2115.65,62092000.0,207.621,"null",12830465388.0,128916000.0,94918.0,7.947808529949474,"null",-104.72667974381396,1.005,-501332000.0,"null",18.55,95.6904624170016,0.122,44.954977936771,33.79288874380703,"null",-420267000.0,"null","null","null","null",86.53630673412972,7852182.0,-439240000.0,359.617,29.34615111200388,2508428000.0,"null",1508017000.0,"null",5.1321861552,374767000.0,-420267000.0,270372000.0,-420267000.0,"null",-55.939,1373833000.0,"null",4016445000.0,549075000.0,0.122399020807834,1.6290201755255955,"null",-616124000.0,"null",819334000.0,70.305,-439240000.0,-423130000.0,-152664000.0,-4.514,"null",7947100.0,34.934789636362936,18972000.0,1236586000.0,1.422,22495000.0,0.0,293407000.0,35.37812390163105,20.192,20000000.0,745040000.0,115908000.0,1533313000.0,1.6339843881561391,618691000.0,"null",477960000.0,41.61,"null",12000000.0,2.681078130896649,186660000.0,2315934000.0,"null",782621000.0
5,"株式会社ＡＳＪ",10.474,1260453000.0,1795.0,13375434690.0,1695.0,45.586624347749,3.106,1477730000.0,5.994,148526000.0,2785336000.0,0.6136695181905141,-29.726,-42491000.0,5943.61653023177,172.9886323268206,-182.25,"null",24.06972,5.06031110429765,2785336000.0,4.08363212498258,2785336000.0,55144000.0,93897000.0,363157000.0,0.6073712591298941,844500000.0,1983.0,1174.5555575,2500000000.0,0.045,-23110000.0,2351.0,-154.86968449931413,-77043000.0,-100.235,200763000.0,52.404,"null",14094666690.0,125664000.0,94918.0,315.459756075268,"null",-199.7655509552552,0.892,-222633000.0,"null",20.883,78.28596293012974,0.111,49.3844463870893,30.79620369493289,0.5980290623092153,-20684000.0,0.6930951563036757,"null","null","null",58.23498113806389,7852182.0,-21870000.0,354.721,20.241430183778345,2584900000.0,"null",1460889000.0,"null",5.637866676,415952000.0,-20684000.0,126862000.0,-20684000.0,0.8686564206257342,3.081,1373833000.0,"null",4045790000.0,396122000.0,0.11142061281337,1.680129658327299,123720000.0,-719232000.0,"null",204587000.0,68.845,-21870000.0,-20047000.0,-14429000.0,-5.729,"null",7947100.0,29.757060988376487,1185000.0,1236586000.0,1.453,7323000.0,0.0,75144000.0,33.99906604646834,0.19,20000000.0,844896000.0,112656000.0,416429000.0,0.0,640474000.0,"null",77043000.0,44.573,"null",12000000.0,33.363578803575614,148984000.0,601743000.0,"null",185314000.0
6,"株式会社ＡＳＪ",-15.003,1401236000.0,1973.0,14920256086.0,1808.0,50.8517386633584,4.824,1479948000.0,4.997,34001000.0,2786367000.0,0.5928874841078574,-23.645,-42491000.0,7178.19613947451,159.31608163001084,-173.90833333333333,"null",45.97652,5.5600554722332,2786367000.0,3.741425129431629,2786367000.0,113342000.0,145757000.0,462280000.0,0.9763015460907096,988656000.0,1677.0,1291.0295905,2500000000.0,0.072,43212000.0,2351.0,-157.50155733384446,-155310000.0,-94.995,141863000.0,84.235,"null",15492355086.0,201995000.0,94918.0,117.5023250998553,"null",-205.26869835254487,1.304,-162732000.0,"null",18.485,99.65396493345956,0.101,54.281622686199,32.47057411043724,0.5777766952175993,-19998000.0,0.6751524748340395,"null","null","null",81.0620905292378,7852182.0,-20869000.0,354.853,31.42092014970638,2612515000.0,"null",1575088000.0,"null",6.1969420344,412579000.0,-19998000.0,234872000.0,-19998000.0,0.8683350039675319,3.081,1373833000.0,"null",4187604000.0,551395000.0,0.10136847440446,1.6776116458145829,-14694000.0,-572099000.0,"null",392296000.0,66.538,-20869000.0,-18999000.0,-20916000.0,-4.35,"null",7947100.0,30.36860198113182,870000.0,1236586000.0,1.503,15435000.0,0.0,133342000.0,34.130116850949136,12.829,20000000.0,774094000.0,108987000.0,776191000.0,0.0,668077000.0,"null",156557000.0,49.534,"null",12000000.0,12.34221293825631,149986000.0,1149413000.0,"null",373221000.0
7,"株式会社ＡＳＪ",-3.495,1479682000.0,1545.0,11507487190.0,1890.0,39.2202203423913,4.658,1511645000.0,6.786,-485000.0,2796391000.0,0.5806210511373403,-25.796,-42491000.0,4385.89813017496,148.94709334862705,-93.85,"null",70.50756,4.3383136299609,2796391000.0,3.979223273285006,2796391000.0,193493000.0,135981000.0,547550000.0,0.9625991530455,1081055000.0,1491.0,1010.9684325,2500000000.0,0.071,32988000.0,2351.0,-206.553010122536,-177580000.0,-36.68,223183000.0,83.053,"null",12131621190.0,199160000.0,94918.0,41.82876275962464,"null",-372.6281352235551,1.642,-234445000.0,"null",19.254,118.0356677756247,0.129,42.5063897872162,32.187073272710045,0.5658228940432027,-8531000.0,0.6735321815585847,"null","null","null",86.99199646524981,7852182.0,-11262000.0,356.129,29.31350221860509,2665872000.0,"null",1610200000.0,"null",4.852648476,398627000.0,-8531000.0,180162000.0,-8531000.0,0.8652223526681355,3.081,1373833000.0,"null",4276073000.0,591731000.0,0.129449838187702,1.642434566316827,-5694000.0,-624134000.0,"null",575060000.0,65.396,-11262000.0,-7336000.0,-18793000.0,-32.001,"null",7947100.0,34.10421638542155,2730000.0,1236586000.0,1.529,10923000.0,0.0,213493000.0,32.6240193250199,-1.73,20000000.0,823294000.0,106152000.0,1195330000.0,0.0,688832000.0,"null",228877000.0,52.122,"null",12000000.0,12.661507503592524,159592000.0,1762689000.0,"null",567358000.0
8,"株式会社ＡＳＪ",-22.918,1339491000.0,1453.0,10884678446.0,815.0,40.2428263092707,4.681,1535475000.0,6.311,-83097000.0,2836453000.0,0.5945429344837958,-21.68,-42491000.0,6555.99043621555,155.93649513419436,345.6428571428572,154.0,99.31112,4.02235483753829,2836453000.0,3.480132335633713,2836453000.0,260475000.0,65273000.0,413384000.0,0.9448657914642388,942290000.0,1120.0,1629.88863514286,2500000000.0,0.069,21956000.0,2351.0,-71.06840256251292,-286258000.0,250.7,239800000.0,81.523,"null",11409220446.0,195491000.0,94918.0,0.693658474499137,"null",-60.11168727562824,1.713,-215605000.0,"null",17.242,89.11342614876968,0.138,42.6552778614824,31.80292398273225,0.5793899535051237,29089000.0,0.6654476467903101,0.9745132267162026,"null",285545000.0,94.60857958303158,7852182.0,24195000.0,361.231,14.070938074547255,2706569000.0,"null",1469374000.0,"null",4.5636881784,397200000.0,29089000.0,295429000.0,29089000.0,0.8530019711237944,3.081,1373833000.0,"null",4175944000.0,643540000.0,0.137646249139711,1.6169445936925055,"null",-524542000.0,1.009756007182277,765103000.0,67.924,24195000.0,25070000.0,-69114000.0,16.824,"null",7947100.0,32.9883889989311,4894000.0,1236586000.0,1.472,18903000.0,0.0,270475000.0,30.81640807192588,19.566,10000000.0,720033000.0,102483000.0,1693181000.0,1.6958020411007346,699935000.0,"null",338140000.0,46.527,"null",7000000.0,9.658535720873957,195050000.0,2482778000.0,"null",789596000.0
9,"株式会社ＡＳＪ",-22.5,1608879000.0,1120.0,8156924840.0,1360.0,30.1577773916258,7.781,1521421000.0,11.141,98466000.0,2789506000.0,0.569881217765157,-14.664,-42491000.0,3960.8775816483,138.2750512085211,-443.1142857142857,"null",22.42692,3.15268862658836,2789506000.0,4.690536062016543,2789506000.0,71405000.0,98319000.0,499195000.0,1.6384498736713349,1220500000.0,868.0,1256.34912,2500000000.0,0.123,126701000.0,2351.0,-122.5675414275582,-69418000.0,-287.37,202653000.0,78.083,"null",8794443840.0,342239000.0,94918.0,345.89270394686383,"null",-134.7983435988447,3.892,-233671000.0,"null",22.275,113.96925123738764,0.179,32.8794984204131,32.49737369197376,0.9884082452991269,-29102000.0,1.305182893243224,"null","null","null",80.51063071775347,7852182.0,-31018000.0,355.252,22.446825013088507,2710737000.0,"null",1687647000.0,"null",3.517777536,388378000.0,-29102000.0,152013000.0,-29102000.0,1.558483831904287,5.537,1373833000.0,"null",4398385000.0,552889000.0,0.178571428571429,1.6475104523994344,133235000.0,-637519000.0,"null",212943000.0,63.421,-31018000.0,-28737000.0,-1425000.0,-6.584,"null",7947100.0,39.18958969067639,1916000.0,1236586000.0,1.577,10768000.0,0.0,81405000.0,37.97989202262281,-11.012,10000000.0,979758000.0,99231000.0,378468000.0,0.0,718257000.0,"null",69418000.0,56.811,"null",7000000.0,36.14459765317752,148327000.0,560673000.0,"null",182204000.0
10,"株式会社ＡＳＪ",-4.378,1499204000.0,868.0,6267020976.0,1237.0,23.1704260134948,7.925,1506681000.0,13.024,135850000.0,2778290000.0,0.5859871256424612,-12.621,-42491000.0,2388.60616599639,138.96082979857437,-598.4571428571429,"null",46.4112,2.45319746174805,2778290000.0,4.249622091179255,2778290000.0,143307000.0,83584000.0,433371000.0,1.6228811074314289,1123839000.0,830.0,973.670568,2500000000.0,0.122,113365000.0,2351.0,-116.70963429771794,-138294000.0,-377.86,193153000.0,77.341,"null",6815693976.0,338987000.0,94918.0,115.46523253007894,"null",-126.4648282432647,4.974,-235045000.0,"null",20.752,98.94123213974083,0.23,25.4816112758202,32.56274347571276,1.0163425088749372,-38739000.0,1.3112405474393196,"null","null","null",79.76841540008864,7852182.0,-41892000.0,353.824,19.08273499419227,2715798000.0,"null",1561696000.0,"null",2.7262775904,375365000.0,-38739000.0,198005000.0,-38739000.0,1.5647754554060231,5.537,1373833000.0,"null",4277495000.0,547792000.0,0.230414746543779,1.6636281999972125,54810000.0,-548673000.0,"null",419682000.0,64.951,-41892000.0,-37786000.0,-2174000.0,-8.137,"null",7947100.0,37.93006704268446,3152000.0,1236586000.0,1.54,20742000.0,0.0,153307000.0,36.17075188747544,-0.09,10000000.0,887660000.0,95979000.0,782460000.0,0.0,738275000.0,"null",138343000.0,53.149,"null",7000000.0,16.647102423552933,137453000.0,1160280000.0,"null",377819000.0
11,"株式会社ＡＳＪ",56.203,1532469000.0,806.0,5829417692.0,790.0,21.5525194269341,7.671,1516460000.0,13.467,16734000.0,2849726000.0,0.571986510872631,-11.933,-31747000.0,2020.22818127157,139.13155785466523,23.155813953488373,"null",72.86524341580207,2.2276537084618,2849726000.0,4.0929625777510745,2849726000.0,220223000.0,85119000.0,505747000.0,1.6093087051281898,1165282000.0,1259.0,906.886098857143,2506000000.0,0.118,130862000.0,2351.0,331.8569850356533,-282939000.0,31.194,288028000.0,76.694,"null",6348202692.0,336152000.0,70918.0,37.2396430893049,"null",220.5744694492531,5.295,-278071000.0,"null",19.509,115.46511264246456,0.248,23.7338169623329,35.033896439381536,0.992059688795298,14094000.0,1.2830058150374872,0.5452893560415837,"null",235820000.0,92.59751324226818,7876182.0,9957000.0,361.816,19.43318481971013,2760920000.0,"null",1621275000.0,"null",2.5392810768,367187000.0,14094000.0,215265000.0,14094000.0,1.5255501757011023,5.52,1373833000.0,"null",4382196000.0,635893000.0,0.248138957816377,1.6529001754085173,22582000.0,-518785000.0,0.8541606996264519,625676000.0,65.03,9957000.0,15597000.0,-48904000.0,29.346,"null",7947100.0,34.424904645782526,4136000.0,1245856000.0,1.538,9558000.0,0.0,270223000.0,34.26478488808616,-3.434,50000000.0,854937000.0,93144000.0,1186282000.0,0.0,755632000.0,"null",265446000.0,53.184,"null",43000000.0,15.773687118805393,189303000.0,1826003000.0,"null",639720000.0
12,"株式会社ＡＳＪ",-27.675,1507317000.0,1243.0,9215270226.0,1270.0,28.871793651838,6.149,1604696000.0,8.634,51708000.0,2891722000.0,0.5697963646613806,-13.222,-31747000.0,2549.6105768322,144.67894872407803,334.4153846153846,162.0,98.29635294117648,3.38555857928252,2891722000.0,4.046859496911501,"null",299179000.0,67661000.0,472036000.0,1.2949220783728437,1079298000.0,899.0,753.084171230769,2550000000.0,0.094,53322000.0,2351.0,-70.09706951281225,-366727000.0,252.2,438303000.0,61.711,"null",9790094226.0,270483000.0,70918.0,1.7331742306279097,"null",-60.348929421094375,2.763,-394829000.0,"null",19.216,107.76868653951163,0.161,31.3605150442535,36.21800741016462,0.9882610751436676,53039000.0,1.292610694120084,1.734410986863654,"null",349619000.0,88.3687644047193,7876182.0,43474000.0,367.148,15.44741735789198,2837522000.0,"null",1561517000.0,"null",3.83925263764706,428019000.0,53039000.0,202478000.0,53039000.0,1.503394862991671,5.52,1373833000.0,"null",4399040000.0,606853000.0,0.160901045856798,1.562013615039858,"null",-574824000.0,2.0123220816442635,854097000.0,65.735,43474000.0,50440000.0,-66757000.0,18.034,"null",7947100.0,32.955580646049626,9565000.0,1245856000.0,1.521,24102000.0,0.0,319179000.0,34.07450937680651,-3.953,20000000.0,845307000.0,89475000.0,1598731000.0,1.908235081029476,756642000.0,"null",349235000.0,51.559,"null",13000000.0,17.486257045022317,222819000.0,2506557000.0,"null",907825000.0
13,"GMO TECH株式会社",-21.591,435616000.0,2200.0,1902102020.0,2688.0,16.7963443860656,0.0,13530000.0,16.941,47108000.0,736048000.0,2.386342512578254,2.204,-100074000.0,109.614923397678,219.7066568993816,-184.75384615384613,"null",44.95693103448276,3.11127537877964,736048000.0,1.6650078648237443,741592000.0,2995000.0,0.0,260219000.0,0.0,431372000.0,1725.0,35.231508,2900000000.0,0.0,-32288000.0,6026.0,-154.12607211258225,-11342000.0,-104.61,-105063000.0,0.0,128344000.0,2290048020.0,0.0,39430.0,122.43511222618427,4751000.0,-195.59315553006405,0.0,-14187000.0,-5678000.0,33.111,46.22007104795737,1.41,33.556275478057,24.72742111031938,"null",-120307000.0,"null","null",243000.0,"null",40.21836062595271,1061190.0,-120090000.0,693.606,0.0,223911000.0,"null",947753000.0,308083000.0,0.789671731034483,4243000.0,-119466000.0,47864000.0,-120307000.0,"null",-165.842,277663000.0,355000.0,1171665000.0,308083000.0,1.42168674698795,206.65144124168515,-118100000.0,-387946000.0,"null",437456000.0,62.821,-120090000.0,-115071000.0,-6395000.0,0.18,260219000.0,1100620.0,0.9290163283537646,-216000.0,267663000.0,1.592,"null",0.0,121194000.0,33.55364636345437,-6.002,110000000.0,387946000.0,"null",981366000.0,0.0,82036000.0,"null",13037000.0,52.1,110000000.0,65000000.0,-8.05851730890331,296341000.0,1303751000.0,"null",322384000.0
14,"GMO TECH株式会社",-1.391,433719000.0,1725.0,1387485250.0,2200.0,"null",0.0,12561000.0,26.339,"null",669478000.0,2.534444406171875,2.819,-100074000.0,"null",227.4243948326767,103.02864864864866,"null",72.72021915871332,2.81355361938704,669478000.0,2.129304998508581,671079000.0,"null",0.0,296641000.0,0.0,429468000.0,1701.0,"null",2829000000.0,0.0,"null",6026.0,-2.939617949350215,"null",109.617,"null",0.0,112477000.0,1883612250.0,0.0,39430.0,37.51333694656229,6535000.0,-8.773274218415029,0.0,-117821000.0,-9532000.0,44.972,52.68934280639432,1.714,-10.3634686803664,26.014373521998973,"null",-188011000.0,"null","null",361000.0,"null",41.87900975467044,1061190.0,-190603000.0,630.875,0.0,126483000.0,"null",976715000.0,320804000.0,0.665822640509014,4251000.0,-115229000.0,24163000.0,-188011000.0,"null",-165.842,277663000.0,923000.0,1103198000.0,320804000.0,0.0,222.5932648674469,0.0,-496127000.0,"null",644799000.0,60.685,-190603000.0,-109617000.0,"null",-1.378,296641000.0,1100620.0,0.0,2591000.0,267663000.0,1.648,"null",0.0,"null",31.34268722156466,-10.81,-100000000.0,496127000.0,"null",1522073000.0,0.0,1444000.0,"null",0.0,56.36,-106000000.0,-185000000.0,0.0,225828000.0,2057255000.0,"null",535182000.0
15,"GMO TECH株式会社",3.348,411588000.0,1882.0,1484274580.0,1337.0,30.4510305069446,0.0,11212000.0,25.681,30103000.0,691336000.0,2.5350740395530424,2.914,-100074000.0,52.449780872053,237.7868995333011,-159.9909090909091,116.0,96.41358620689655,2.88884070842543,691336000.0,2.2012278996306858,685692000.0,6444000.0,0.0,286482000.0,0.0,407329000.0,1945.0,18.1559961818182,2900000000.0,0.0,-32219000.0,6026.0,-162.50355133814423,106535000.0,-318.33,-98071000.0,0.0,121989000.0,1997159580.0,0.0,39430.0,3.719822002479267,4627000.0,-131.4139415072409,0.0,-4662000.0,"null",46.502,50.88490230905862,0.0,15.5127624802902,26.503740709028705,"null",-172439000.0,"null","null",382000.0,"null",41.18294960575738,1061190.0,-175990000.0,651.472,0.0,134349000.0,"null",968575000.0,315472000.0,0.688675717241379,4258000.0,-99182000.0,28990000.0,-172439000.0,"null",-165.842,277663000.0,944000.0,1102924000.0,315472000.0,2.75451647183847,249.3751337852301,-113266000.0,-512885000.0,"null",836543000.0,62.682,-175990000.0,-95499000.0,-5502000.0,-2.059,286482000.0,1100620.0,0.8695851657731063,3550000.0,267663000.0,1.595,"null",0.0,48743000.0,29.91934174393793,-9.702,30000000.0,512885000.0,"null",2054950000.0,0.0,1147000.0,"null",15195000.0,52.007,30000000.0,110000000.0,-3.507554021932808,240441000.0,2795994000.0,"null",741043000.0
16,"GMO TECH株式会社",0.41,464135000.0,1950.0,1486884700.0,2036.0,30.504579119053,0.0,10855000.0,28.145,"null",803068000.0,2.056893759805051,-4.234,-100122000.0,48.4719922451002,245.0071650839696,104.63090909090909,"null",24.49896551724138,2.57671044046083,803068000.0,2.6812420007795885,800739000.0,"null",0.0,289954000.0,0.0,459869000.0,1958.0,18.8115790909091,2900000000.0,0.0,"null",6026.0,-4.425947486402415,"null",48.6,"null",0.0,128772000.0,2069273700.0,0.0,39454.0,308.18050023224066,2325000.0,105.76131687242798,0.0,-11276000.0,-3724000.0,45.959,56.65061712667021,0.0,16.0729026044134,26.658127718271004,10.854211318777402,138837000.0,"null",16.19969879094121,17000.0,14580000.0,43.56397496416656,1061166.0,115094000.0,756.779,0.0,140492000.0,"null",1126712000.0,311095000.0,0.713542655172414,4266000.0,12467000.0,21141000.0,138837000.0,17.127441262757326,129.617,277663000.0,213000.0,1267204000.0,311095000.0,2.65846153846154,240.1201289728236,0.0,-582389000.0,2.052162652891748,174818000.0,63.373,115094000.0,14580000.0,"null",17.101,289954000.0,1100620.0,0.0,23742000.0,267663000.0,1.578,26543000.0,0.0,30000000.0,24.60596506537925,-13.087,30000000.0,582389000.0,"null",521071000.0,0.0,864000.0,"null",0.0,51.388,30000000.0,110000000.0,0.0,355535000.0,710470000.0,"null",189398000.0
17,"GMO TECH株式会社",2.247,391701000.0,1958.0,1560406766.0,1699.0,32.0129406478879,0.0,10067000.0,24.893,57801000.0,814350000.0,2.1611888717807126,-3.76,-100316000.0,48.1853913674531,276.2300296355295,114.36363636363636,"null",45.587896551724135,2.55122338797814,814350000.0,2.381037589046478,811252000.0,2111000.0,0.0,229903000.0,0.0,386698000.0,2002.0,18.8871706,2900000000.0,0.0,-241000.0,6026.0,-12.559618441971388,-13945000.0,60.44,18483000.0,0.0,127226000.0,2077588766.0,0.0,39543.0,119.35646863315958,3735000.0,65.45334215751157,0.0,-19053000.0,-2602000.0,42.882,44.91797605576354,0.0,16.1374891528083,27.996314811326965,11.404575760063214,154915000.0,"null",9.515532328983268,38000.0,20243000.0,34.6269850343602,1061077.0,125800000.0,767.475,0.0,137874000.0,"null",1068176000.0,247275000.0,0.716409919310345,5003000.0,28546000.0,17372000.0,154915000.0,16.89015779456008,129.628,277663000.0,14149000.0,1206051000.0,247275000.0,2.64759959141982,258.9156650442038,18100000.0,-517182000.0,1.371507410088431,351992000.0,67.522,125800000.0,18132000.0,-383000.0,18.794,229903000.0,1100620.0,0.5703478554542384,29114000.0,267663000.0,1.481,31935000.0,0.0,32111000.0,26.624731761076937,-10.291,30000000.0,517182000.0,"null",951924000.0,0.0,580000.0,"null",383000.0,42.824,30000000.0,110000000.0,1.398057106809203,366242000.0,1322049000.0,"null",370125000.0
